keys,en,ko,ja,zh_CN,zh_TW,id,vi,th,de,de_CH,fr,it,es,ru,pt_PT,pt_BR
otherKeys,en,ko,ja,zh_Hans,zh_Hant,id,vi,th,de,de_ch,fr,it,es,ru,pt_PT,pt_BR
languageTitle,English,한국어,日本語,简体中文,繁體中文,Bahasa Indonesia,Tiếng Việt,ภาษาไทย,Deutsch,Schweizerdeutsch,Français,Italiano,Español,Русский,Português (Portugal),Português (Brasil)
plainText,Hello world!,안녕하세요!,ハローワールド！,"你好，世界！","你好，世界！",Halo dunia!,Chào thế giới!,สวัสดีชาวโลก!,Hallo Welt!,Hallo Welt!,Bonjour le monde !,Ciao mondo!,¡Hola mundo!,"Привет, мир!",Olá mundo!,Olá mundo!
welcome,Welcome %name$s!,"%name$s님, 환영합니다!",ようこそ、%name$sさん！,欢迎 %name$s！,歡迎 %name$s！,Selamat datang %name$s!,Chào mừng %name$s!,ยินดีต้อนรับ %name$s!,Willkommen %name$s!,Willkomme %name$s!,Bienvenue %name$s !,Benvenuto %name$s!,¡Bienvenido %name$s!,"Добро пожаловать, %name$s!",Bem-vindo %name$s!,Bem-vindo %name$s!
language,Language,언어,言語,语言,語言,Bahasa,Ngôn ngữ,ภาษา,Sprache,Sprach,Langue,Lingua,Idioma,Язык,Idioma,Idioma
chooseYourLanguage,Choose your language,언어를 선택하세요,言語を選択してください,选择你的语言,選擇您的語言,Pilih bahasamu,Chọn ngôn ngữ của bạn,เลือกภาษาของคุณ,Wähle deine Sprache,Wähl dini Sprach,Choisissez votre langue,Scegli la tua lingua,Elige tu idioma,Выберите язык,Escolhe o teu idioma,Escolha seu idioma
home,Home,홈,ホーム,主页,首頁,Beranda,Trang chủ,หน้าหลัก,Startseite,Startsite,Accueil,Home,Inicio,Главная,Início,Início
keyscope,Keyscope,키스코프,キースコープ,键探,鍵探,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope,Keyscope
empty,Empty,비어있음,空,为空,為空,Kosong,Trống,ว่าง,Leer,Leer,Vide,Vuoto,Vacío,Пусто,Vazio,Vazio
field,Field,필드,フィールド,字段,欄位,Kolom,Trường,ฟิลด์,Feld,Feld,Champ,Campo,Campo,Поле,Campo,Campo
value,Value,값,値,值,值,Nilai,Giá trị,ค่า,Wert,Wert,Valeur,Valore,Valor,Значение,Valor,Valor
actions,Actions,작업,操作,操作,操作,Tindakan,Hành động,การดำเนินการ,Aktionen,Aktionen,Actions,Azioni,Acciones,Действия,Ações,Ações
score,Score,점수,スコア,分数,分數,Skor,Điểm,คะแนน,Punktzahl,Punktzahl,Score,Punteggio,Puntuación,Очки,Pontuação,Pontuação
member,Member,멤버,メンバー,成员,成員,Anggota,Thành viên,สมาชิก,Mitglied,Mitglied,Membre,Membro,Miembro,Участник,Membro,Membro
enterStringValue,Enter string value...,문자열 값 입력,文字列の値を入力...,输入字符串值...,輸入字串值...,Masukkan nilai string...,Nhập giá trị chuỗi...,ใส่ค่าสตริง...,Zeichenfolge eingeben...,Zeichenfolge eingeben...,Entrez la valeur de chaîne...,Inserisci valore stringa...,Introduce valor de cadena...,Введите строковое значение...,Introduza valor de cadeia...,Insira valor de string...
